Team,2013,2014,2015
2016,Clemson (ACC),14,
2016,Colorado (Pac-12),10,
2016,Duke (ACC),4,
2016,East Carolina (AAC),3,
2016,Eastern Mich. (MAC),7,
2016,FIU (C-USA),4,
2016,Fla. Atlantic (C-USA),3,
2016,Florida (SEC),9,
2016,Florida St. (ACC),10,
2016,Ga. Southern (Sun Belt),5,
2016,Georgia (SEC),8,
2016,Georgia St. (Sun Belt),3,
2016,Georgia Tech (ACC),9,
2016,Houston (AAC),9,
2016,Idaho (Sun Belt),9,
2016,Illinois (Big Ten),3,
2016,Indiana (Big Ten),6,
2016,Iowa (Big Ten),8,
2016,Iowa St. (Big 12),3,
2016,Kansas (Big 12),2,
2016,Kansas St. (Big 12),9,
2016,Kent St. (MAC),3,
2016,Kentucky (SEC),7,
2016,La.-Monroe (Sun Belt),4,
2016,Louisiana (Sun Belt),6,
2016,Louisiana Tech (C-USA),9,
2016,Louisville (ACC),9,
2016,LSU (SEC),8,
2016,Marshall (C-USA),3,
2016,Maryland (Big Ten),6,
2016,Massachusetts (FBS Independent),2,
2016,Memphis (AAC),8,
2016,Miami (FL) (ACC),9,
2016,Miami (OH) (MAC),6,
2016,Michigan (Big Ten),10,
2016,Michigan St. (Big Ten),3,
2016,Middle Tenn. (C-USA),8,
2016,Minnesota (Big Ten),9,
2016,Mississippi St. (SEC),6,
2016,Missouri (SEC),4,
2016,Navy (AAC),9,
2016,NC State (ACC),7,
2016,Nebraska (Big Ten),9,
2016,New Mexico St. (Sun Belt),3,
2016,North Carolina (ACC),8,
2016,North Texas (C-USA),5,
2016,Northern Ill. (MAC),5,
2016,Northwestern (Big Ten),7,
2016,Notre Dame (FBS Independent),4,
2016,Ohio (MAC),8,
2016,Ohio St. (Big Ten),11,
2016,Oklahoma (Big 12),11,
2016,Oklahoma St. (Big 12),10,
2016,Old Dominion (C-USA),10,
2016,Ole Miss (SEC),5,
2016,Oregon (Pac-12),4,
2016,Oregon St. (Pac-12),4,
2016,Penn St. (Big Ten),11,
2016,Pittsburgh (ACC),8,
2016,Purdue (Big Ten),3,
2016,Rice (C-USA),3,
2016,Rutgers (Big Ten),2,
2016,SMU (AAC),5,
2016,South Alabama (Sun Belt),6,
2016,South Carolina (SEC),6,
2016,South Fla. (AAC),11,
2016,Southern California (Pac-12),10,
2016,Southern Miss. (C-USA),7,
2016,Stanford (Pac-12),10,
2016,Syracuse (ACC),4,
2016,TCU (Big 12),6,
2016,Temple (AAC),10,
2016,Tennessee (SEC),9,
2016,Texas (Big 12),5,
2016,Texas A&M (SEC),8,
2016,Texas St. (Sun Belt),2,
2016,Texas Tech (Big 12),5,
2016,Toledo (MAC),9,
2016,Troy (Sun Belt),10,
2016,Tulane (AAC),4,
2016,Tulsa (AAC),10,
2016,UCF (AAC),6,
2016,UCLA (Pac-12),4,
2016,UConn (AAC),3,
2016,Utah (Pac-12),9,
2016,UTEP (C-USA),4,
2016,UTSA (C-USA),6,
2016,Vanderbilt (SEC),6,
2016,Virginia (ACC),2,
2016,Virginia Tech (ACC),10,
2016,Wake Forest (ACC),7,
2016,Washington (Pac-12),12,
2016,Washington St. (Pac-12),8,
2016,West Virginia (Big 12),10,
2016,Western Ky. (C-USA),11,
2016,Western Mich. (MAC),13,
2016,Wisconsin (Big Ten),11,
2017,Air Force (MWC),5,
2017,Akron (MAC),7,
2017,Alabama (SEC),13,
2017,Appalachian St. (Sun Belt),9,
2017,Arizona (Pac-12),7,
2017,Arizona St. (Pac-12),7,
2017,Arkansas (SEC),4,
2017,Arkansas St. (Sun Belt),7,
2017,Army West Point (FBS Independent),10,
2017,Auburn (SEC),10,
2017,Ball St. (MAC),2,
2017,Baylor (Big 12),1,
2017,Boise St. (MWC),11,
2017,Boston College (ACC),7,
2017,Bowling Green (MAC),2,
2017,Buffalo (MAC),6,
2017,BYU (FBS Independent),4,
2017,California (Pac-12),5,
2017,Central Mich. (MAC),8,
2017,Charlotte (C-USA),1,
2017,Cincinnati (AAC),4,
2017,Clemson (ACC),12,
2017,Colorado (Pac-12),5,
2017,Colorado St. (MWC),7,
2017,Duke (ACC),7,
2017,East Carolina (AAC),3,
2017,Eastern Mich. (MAC),5,
2017,FIU (C-USA),8,
2017,Fla. Atlantic (C-USA),11,
2017,Florida (SEC),4,
2017,Florida St. (ACC),7,
2017,Fresno St. (MWC),10,
2017,Ga. Southern (Sun Belt),2,
2017,Georgia (SEC),13,
2017,Georgia St. (Sun Belt),7,
2017,Georgia Tech (ACC),5,
2017,Hawaii (MWC),3,
2017,Houston (AAC),7,
2017,Idaho (Sun Belt),4,
2017,Illinois (Big Ten),2,
2017,Indiana (Big Ten),5,
2017,Iowa (Big Ten),8,
2017,Iowa St. (Big 12),8,
2017,Kansas (Big 12),1,
2017,Kansas St. (Big 12),8,
2017,Kent St. (MAC),2,
2017,Kentucky (SEC),7,
2017,La.-Monroe (Sun Belt),4,
2017,Louisiana (Sun Belt),5,
2017,Louisiana Tech (C-USA),7,
2017,Louisville (ACC),8,
2017,LSU (SEC),9,
2017,Marshall (C-USA),8,
2017,Maryland (Big Ten),4,
2017,Massachusetts (FBS Independent),4,
2017,Memphis (AAC),10,
2017,Miami (FL) (ACC),10,
2017,Miami (OH) (MAC),5,
2017,Michigan (Big Ten),8,
2017,Michigan St. (Big Ten),10,
2017,Middle Tenn. (C-USA),7,
2017,Minnesota (Big Ten),5,
2017,Mississippi St. (SEC),9,
2017,Missouri (SEC),7,
2017,Navy (AAC),7,
2017,NC State (ACC),9,
2017,Nebraska (Big Ten),4,
2017,Nevada (MWC),3,
2017,New Mexico (MWC),3,
2017,New Mexico St. (Independent),7,
2017,North Carolina (ACC),3,
2017,North Texas (C-USA),9,
2017,Northern Ill. (MAC),8,
2017,Northwestern (Big Ten),10,
2017,Notre Dame (FBS Independent),10,
2017,Ohio (MAC),9,
2017,Ohio St. (Big Ten),12,
2017,Oklahoma (Big 12),12,
2017,Oklahoma St. (Big 12),10,
2017,Old Dominion (C-USA),5,
2017,Ole Miss (SEC),6,
2017,Oregon (Pac-12),7,
2017,Oregon St. (Pac-12),1,
2017,Penn St. (Big Ten),11,
2017,Pittsburgh (ACC),5,
2017,Purdue (Big Ten),7,
2017,Rice (C-USA),1,
2017,Rutgers (Big Ten),4,
2017,San Diego St. (MWC),10,
2017,San Jose St. (MWC),2,
2017,SMU (AAC),7,
2017,South Alabama (Sun Belt),4,
2017,South Carolina (SEC),9,
2017,South Fla. (AAC),10,
2017,Southern California (Pac-12),11,
2017,Southern Miss. (C-USA),8,
2017,Stanford (Pac-12),9,
2017,Syracuse (ACC),4,
2017,TCU (Big 12),11,
2017,Temple (AAC),7,
2017,Tennessee (SEC),4,
2017,Texas (Big 12),7,
2017,Texas A&M (SEC),7,
2017,Texas St. (Sun Belt),2,
2017,Texas Tech (Big 12),6,
2017,Toledo (MAC),11,
2017,Troy (Sun Belt),11,
2017,Tulane (AAC),5,
2017,Tulsa (AAC),2,
2017,UAB (C-USA),8,
2017,UCF (AAC),13,
2017,UCLA (Pac-12),6,
2017,UConn (AAC),3,
2017,UNLV (MWC),5,
2017,Utah (Pac-12),7,
2017,Utah St. (MWC),6,
2017,UTEP (C-USA),0,
2017,UTSA (C-USA),6,
2017,Vanderbilt (SEC),5,
2017,Virginia (ACC),6,
2017,Virginia Tech (ACC),9,
2017,Wake Forest (ACC),8,
2017,Washington (Pac-12),10,
2017,Washington St. (Pac-12),9,
2017,West Virginia (Big 12),7,
2017,Western Ky. (C-USA),6,
2017,Western Mich. (MAC),6,
2017,Wisconsin (Big Ten),13,
2017,Wyoming (MWC),8,
2018,Air Force (MWC),5,
2018,Akron (MAC),4,
2018,Alabama (SEC),14,
2018,Appalachian St. (Sun Belt),11,
2018,Arizona (Pac-12),5,
2018,Arizona St. (Pac-12),7,
2018,Arkansas (SEC),2,
2018,Arkansas St. (Sun Belt),8,
2018,Army West Point (FBS Independent),11,
2018,Auburn (SEC),8,
2018,Ball St. (MAC),4,
2018,Baylor (Big 12),7,
2018,Boise St. (MWC),10,
2018,Boston College (ACC),7,
2018,Bowling Green (MAC),3,
2018,Buffalo (MAC),10,
2018,BYU (FBS Independent),7,
2018,California (Pac-12),7,
2018,Central Mich. (MAC),1,
2018,Charlotte (C-USA),5,
2018,Cincinnati (AAC),11,
2018,Clemson (ACC),15,
2018,Coastal Caro. (Sun Belt),5,
2018,Colorado (Pac-12),5,
2018,Colorado St. (MWC),3,
2018,Duke (ACC),8,
2018,East Carolina (AAC),3,
2018,Eastern Mich. (MAC),7,
2018,FIU (C-USA),9,
2018,Fla. Atlantic (C-USA),5,
2018,Florida (SEC),10,
2018,Florida St. (ACC),5,
2018,Fresno St. (MWC),12,
2018,Ga. Southern (Sun Belt),10,
2018,Georgia (SEC),11,
2018,Georgia St. (Sun Belt),2,
2018,Georgia Tech (ACC),7,
2018,Hawaii (MWC),8,
2018,Houston (AAC),8,
2018,Illinois (Big Ten),4,
2018,Indiana (Big Ten),5,
2018,Iowa (Big Ten),9,
2018,Iowa St. (Big 12),8,
2018,Kansas (Big 12),3,
2018,Kansas St. (Big 12),5,
2018,Kent St. (MAC),2,
2018,Kentucky (SEC),10,
2018,La.-Monroe (Sun Belt),6,
2018,Louisiana (Sun Belt),7,
2018,Louisiana Tech (C-USA),8,
2018,Louisville (ACC),2,
2018,LSU (SEC),10,
2018,Marshall (C-USA),9,
2018,Maryland (Big Ten),5,
2018,Massachusetts (FBS Independent),4,
2018,Memphis (AAC),8,
2018,Miami (FL) (ACC),7,
2018,Miami (OH) (MAC),6,
2018,Michigan (Big Ten),10,
2018,Michigan St. (Big Ten),7,
2018,Middle Tenn. (C-USA),8,
2018,Minnesota (Big Ten),7,
2018,Mississippi St. (SEC),8,
2018,Missouri (SEC),8,
2018,Navy (AAC),3,
2018,NC State (ACC),9,
2018,Nebraska (Big Ten),4,
2018,Nevada (MWC),8,
2018,New Mexico (MWC),3,
2018,New Mexico St. (FBS Independent),3,
2018,North Carolina (ACC),2,
2018,North Texas (C-USA),9,
2018,Northern Ill. (MAC),8,
2018,Northwestern (Big Ten),9,
2018,Notre Dame (FBS Independent),12,
2018,Ohio (MAC),9,
2018,Ohio St. (Big Ten),13,
2018,Oklahoma (Big 12),12,
2018,Oklahoma St. (Big 12),7,
2018,Old Dominion (C-USA),4,
2018,Ole Miss (SEC),5,
2018,Oregon (Pac-12),9,
2018,Oregon St. (Pac-12),2,
2018,Penn St. (Big Ten),9,
2018,Pittsburgh (ACC),7,
2018,Purdue (Big Ten),6,
2018,Rice (C-USA),2,
2018,Rutgers (Big Ten),1,
2018,San Diego St. (MWC),7,
2018,San Jose St. (MWC),1,
2018,SMU (AAC),5,
2018,South Alabama (Sun Belt),3,
2018,South Carolina (SEC),7,
2018,South Fla. (AAC),7,
2018,Southern California (Pac-12),5,
2018,Southern Miss. (C-USA),6,
2018,Stanford (Pac-12),9,
2018,Syracuse (ACC),10,
2018,TCU (Big 12),7,
2018,Temple (AAC),8,
2018,Tennessee (SEC),5,
2018,Texas (Big 12),10,
2018,Texas A&M (SEC),9,
2018,Texas St. (Sun Belt),3,
2018,Texas Tech (Big 12),5,
2018,Toledo (MAC),7,
2018,Troy (Sun Belt),10,
2018,Tulane (AAC),7,
2018,Tulsa (AAC),3,
2018,UAB (C-USA),11,
2018,UCF (AAC),12,
2018,UCLA (Pac-12),3,
2018,UConn (AAC),1,
2018,UNLV (MWC),4,
2018,Utah (Pac-12),9,
2018,Utah St. (MWC),11,
2018,UTEP (C-USA),1,
2018,UTSA (C-USA),3,
2018,Vanderbilt (SEC),6,
2018,Virginia (ACC),8,
2018,Virginia Tech (ACC),6,
2018,Wake Forest (ACC),7,
2018,Washington (Pac-12),10,
2018,Washington St. (Pac-12),11,
2018,West Virginia (Big 12),8,
2018,Western Ky. (C-USA),3,
2018,Western Mich. (MAC),7,
2018,Wisconsin (Big Ten),8,
2018,Wyoming (MWC),6,
2019,Air Force (Mountain West),11,
2019,Akron (MAC),0,
2019,Alabama (SEC),11,
2019,Appalachian St. (Sun Belt),13,
2019,Arizona (Pac-12),4,
2019,Arizona St. (Pac-12),8,
2019,Arkansas (SEC),2,
2019,Arkansas St. (Sun Belt),8,
2019,Army West Point (FBS Independent),5,
2019,Auburn (SEC),9,
2019,Ball St. (MAC),5,
2019,Baylor (Big 12),11,
2019,Boise St. (Mountain West),12,
2019,Boston College (ACC),6,
2019,Bowling Green (MAC),3,
2019,Buffalo (MAC),8,
2019,BYU (FBS Independent),7,
2019,California (Pac-12),8,
2019,Central Mich. (MAC),8,
2019,Charlotte (C-USA),7,
2019,Cincinnati (AAC),11,
2019,Clemson (ACC),14,
2019,Coastal Carolina (Sun Belt),5,
2019,Colorado (Pac-12),5,
2019,Colorado St. (Mountain West),4,
2019,Duke (ACC),5,
2019,East Carolina (AAC),4,
2019,Eastern Mich. (MAC),6,
2019,FIU (C-USA),6,
2019,Fla. Atlantic (C-USA),11,
2019,Florida (SEC),11,
2019,Florida St. (ACC),6,
2019,Fresno St. (Mountain West),4,
2019,Ga. Southern (Sun Belt),7,
2019,Georgia (SEC),12,
2019,Georgia St. (Sun Belt),7,
2019,Georgia Tech (ACC),3,
2019,Hawaii (Mountain West),10,
2019,Houston (AAC),4,
2019,Illinois (Big Ten),6,
2019,Indiana (Big Ten),8,
2019,Iowa (Big Ten),10,
2019,Iowa St. (Big 12),7,
2019,Kansas (Big 12),3,
2019,Kansas St. (Big 12),8,
2019,Kent St. (MAC),7,
2019,Kentucky (SEC),8,
2019,La.-Monroe (Sun Belt),5,
2019,Liberty (FBS Independent),8,
2019,Louisiana (Sun Belt),11,
2019,Louisiana Tech (C-USA),10,
2019,Louisville (ACC),8,
2019,LSU (SEC),15,
2019,Marshall (C-USA),8,
2019,Maryland (Big Ten),3,
2019,Massachusetts (FBS Independent),1,
2019,Memphis (AAC),12,
2019,Miami (FL) (ACC),6,
2019,Miami (OH) (MAC),8,
2019,Michigan (Big Ten),9,
2019,Michigan St. (Big Ten),7,
2019,Middle Tenn. (C-USA),4,
2019,Minnesota (Big Ten),11,
2019,Mississippi St. (SEC),6,
2019,Missouri (SEC),6,
2019,Navy (AAC),11,
