Team,2013,2014,2015
2021,Colorado (Pac-12),,
2021,Colorado St. (Mountain West),,
2021,Duke (ACC),,
2021,East Carolina (AAC),,
2021,Eastern Mich. (MAC),,
2021,FIU (C-USA),,
2021,Fla. Atlantic (C-USA),,
2021,Florida (SEC),,
2021,Florida St. (ACC),,
2021,Fresno St. (Mountain West),,
2021,Ga. Southern (Sun Belt),,
2021,Georgia (SEC),,
2021,Georgia St. (Sun Belt),,
2021,Georgia Tech (ACC),,
2021,Hawaii (Mountain West),,
2021,Houston (AAC),,
2021,Illinois (Big Ten),,
2021,Indiana (Big Ten),,
2021,Iowa (Big Ten),,
2021,Iowa St. (Big 12),,
2021,Kansas (Big 12),,
2021,Kansas St. (Big 12),,
2021,Kent St. (MAC),,
2021,Kentucky (SEC),,
2021,Liberty (FBS Independent),,
2021,Louisiana (Sun Belt),,
2021,Louisiana Tech (C-USA),,
2021,Louisville (ACC),,
2021,LSU (SEC),,
2021,Marshall (C-USA),,
2021,Maryland (Big Ten),,
2021,Massachusetts (FBS Independent),,
2021,Memphis (AAC),,
2021,Miami (FL) (ACC),,
2021,Miami (OH) (MAC),,
2021,Michigan (Big Ten),,
2021,Michigan St. (Big Ten),,
2021,Middle Tenn. (C-USA),,
2021,Minnesota (Big Ten),,
2021,Mississippi St. (SEC),,
2021,Missouri (SEC),,
2021,Navy (AAC),,
2021,NC State (ACC),,
2021,Nebraska (Big Ten),,
2021,Nevada (Mountain West),,
2021,New Mexico (Mountain West),,
2021,New Mexico St. (FBS Independent),,
2021,NIU (MAC),,
2021,North Carolina (ACC),,
2021,North Texas (C-USA),,
2021,Northwestern (Big Ten),,
2021,Notre Dame (FBS Independent),,
2021,Ohio (MAC),,
2021,Ohio St. (Big Ten),,
2021,Oklahoma (Big 12),,
2021,Oklahoma St. (Big 12),,
2021,Old Dominion (C-USA),,
2021,Ole Miss (SEC),,
2021,Oregon (Pac-12),,
2021,Oregon St. (Pac-12),,
2021,Penn St. (Big Ten),,
2021,Pittsburgh (ACC),,
2021,Purdue (Big Ten),,
2021,Rice (C-USA),,
2021,Rutgers (Big Ten),,
2021,San Diego St. (Mountain West),,
2021,San Jose St. (Mountain West),,
2021,SMU (AAC),,
2021,South Alabama (Sun Belt),,
2021,South Carolina (SEC),,
2021,South Fla. (AAC),,
2021,Southern California (Pac-12),,
2021,Southern Miss. (C-USA),,
2021,Stanford (Pac-12),,
2021,Syracuse (ACC),,
2021,TCU (Big 12),,
2021,Temple (AAC),,
2021,Tennessee (SEC),,
2021,Texas (Big 12),,
2021,Texas A&M (SEC),,
2021,Texas St. (Sun Belt),,
2021,Texas Tech (Big 12),,
2021,Toledo (MAC),,
2021,Troy (Sun Belt),,
2021,Tulane (AAC),,
2021,Tulsa (AAC),,
2021,UAB (C-USA),,
2021,UCF (AAC),,
2021,UCLA (Pac-12),,
2021,UConn (FBS Independent),,
2021,ULM (Sun Belt),,
2021,UNLV (Mountain West),,
2021,Utah (Pac-12),,
2021,Utah St. (Mountain West),,
2021,UTEP (C-USA),,
2021,UTSA (C-USA),,
2021,Vanderbilt (SEC),,
2021,Virginia (ACC),,
2021,Virginia Tech (ACC),,
2021,Wake Forest (ACC),,
2021,Washington (Pac-12),,
2021,Washington St. (Pac-12),,
2021,West Virginia (Big 12),,
2021,Western Ky. (C-USA),,
2021,Western Mich. (MAC),,
2021,Wisconsin (Big Ten),,
2021,Wyoming (Mountain West),,
