UniversityName,Year,TeamID,CMP,ATT,YDS,CMPPercent,YPA,LNG,TD,INT,SACK,SYL,RTG,R_ATT,R_AVG,TOTAL_PLAYS,RUN_PERCENT,PASS_PERCENT
VirginiaTech,2018,VirginiaTech2018,250,429,3300,58.3,7.7,72,29,10,28,-191,140.5,520,4.4,949,0.5479,0.4521
VirginiaTech,2019,VirginiaTech2019,185,318,2718,58.2,8.5,72,24,8,29,-202,149.8,565,4.1,883,0.6399,0.3601
VirginiaTech,2020,VirginiaTech2020,158,254,2207,62.2,8,60,13,6,22,-140,141.6,473,5,727,0.6506,0.3494
WakeForest,2010,WakeForest2010,166,302,1726,55,5.7,81,9,10,26,-201,106.2,459,4.1,761,0.6032,0.3968
WakeForest,2011,WakeForest2011,278,457,3291,60.8,7.2,79,22,8,35,-249,133.7,464,3.2,921,0.5038,0.4962
WakeForest,2012,WakeForest2012,239,427,2410,56,5.6,73,13,7,27,-176,110.2,402,3,829,0.4849,0.5151
WakeForest,2013,WakeForest2013,219,414,2359,52.9,5.7,66,14,14,25,-190,105.2,388,2.9,802,0.4838,0.5162
WakeForest,2014,WakeForest2014,225,385,2116,58.4,5.5,46,12,14,48,-352,107.6,383,1.3,768,0.4987,0.5013
WakeForest,2015,WakeForest2015,236,417,2739,56.6,6.6,78,13,18,40,-273,113.4,417,3,834,0.5,0.5
WakeForest,2016,WakeForest2016,190,353,2154,53.8,6.1,62,9,13,39,-251,106.1,533,3.6,886,0.6016,0.3984
WakeForest,2017,WakeForest2017,268,426,3599,62.9,8.4,52,33,7,20,-114,156.2,537,4.6,963,0.5576,0.4424
WakeForest,2018,WakeForest2018,247,442,3069,55.9,6.9,54,25,13,34,-195,127,625,4.4,1067,0.5858,0.4142
WakeForest,2019,WakeForest2019,282,469,3748,60.1,8,75,31,13,23,-155,143.5,586,3.9,1055,0.5555,0.4445
WakeForest,2020,WakeForest2020,175,310,2533,56.5,8,80,14,5,27,-168,135.3,380,3,690,0.5507,0.4493
Washington,2010,Washington2010,205,376,2475,54.5,6.6,80,19,9,24,-144,121.7,481,4.7,857,0.5613,0.4387
Washington,2011,Washington2011,267,406,3322,65.8,8.2,80,36,13,34,-191,157.3,452,4.4,858,0.5268,0.4732
Washington,2012,Washington2012,266,438,2767,60.7,6.3,47,19,14,38,-248,121.7,466,4,904,0.5155,0.4845
Washington,2013,Washington2013,270,413,3384,65.4,8.2,70,25,8,31,-203,150.3,610,5.1,1023,0.5963,0.4037
Washington,2014,Washington2014,255,400,2801,63.8,7,91,19,6,28,-221,135.3,607,4.3,1007,0.6028,0.3972
Washington,2015,Washington2015,245,396,3110,61.9,7.9,81,17,11,33,-230,136.5,477,4.5,873,0.5464,0.4536
Washington,2016,Washington2016,254,408,3623,62.3,8.9,75,47,9,26,-141,170.4,529,5.2,937,0.5646,0.4354
Washington,2017,Washington2017,240,348,2889,69,8.3,76,19,5,20,-166,153.8,473,5,821,0.5761,0.4239
Washington,2018,Washington2018,264,405,3337,65.2,8.2,59,19,12,24,-171,144,564,4.4,969,0.582,0.418
Washington,2019,Washington2019,263,411,3164,64,7.7,57,24,8,22,-153,144,461,4.2,872,0.5287,0.4713
Washington,2020,Washington2020,68,111,906,61.3,8,65,4,3,1,-2,134.9,156,4,267,0.5843,0.4157
WashingtonState,2010,WashingtonState2010,227,384,2870,59.1,7.5,83,19,12,51,-277,132,417,2.6,801,0.5206,0.4794
WashingtonState,2011,WashingtonState2011,297,492,3867,60.4,7.9,85,30,12,40,-237,141.6,392,3.1,884,0.4434,0.5566
WashingtonState,2012,WashingtonState2012,363,624,3965,58.2,6.4,81,23,21,57,-364,117,252,1.4,876,0.2877,0.7123
WashingtonState,2013,WashingtonState2013,470,756,4784,62.2,6.3,72,36,24,32,-244,124.7,243,2.9,999,0.2432,0.7568
WashingtonState,2014,WashingtonState2014,510,771,5732,66.1,7.4,90,45,18,36,-273,143.2,243,2,1014,0.2396,0.7604
WashingtonState,2015,WashingtonState2015,500,738,5059,67.8,6.9,75,41,12,40,-290,140.4,294,3.6,1032,0.2849,0.7151
WashingtonState,2016,WashingtonState2016,467,664,4713,70.3,7.1,71,40,12,29,-196,146.2,362,4.3,1026,0.3528,0.6472
WashingtonState,2017,WashingtonState2017,487,713,4769,68.3,6.7,61,37,20,44,-317,136,303,2.9,1016,0.2982,0.7018
WashingtonState,2018,WashingtonState2018,478,677,4859,70.6,7.2,89,39,10,13,-75,146.9,281,3.6,958,0.2933,0.7067
WashingtonState,2019,WashingtonState2019,505,710,5683,71.1,8,65,50,16,20,-156,157.1,210,4.2,920,0.2283,0.7717
WashingtonState,2020,WashingtonState2020,94,152,1019,61.8,6,49,6,4,9,-66,120,110,4,262,0.4198,0.5802
